ip,Pkey,CHECK
80.143.156.166,1,1
78.43.42.24,68744,68744
79.231.96.28,68753,68753
77.2.59.33,68763,68763
78.55.131.92,68777,68777
150.70.188.171,68787,68787
195.149.102.10,68797,68797
93.205.42.244,68809,68809
109.91.234.213,68818,#N/A
109.90.44.218,68832,#N/A
79.231.49.129,68841,#N/A
109.47.3.120,68857,#N/A
213.216.14.18,68867,68867
66.249.81.243,68883,68883
80.187.98.95,68898,68898
217.86.251.149,68913,68913
193.158.8.178,68923,68923
193.175.58.4,68936,68936
80.187.98.235,68947,68947
80.156.247.45,68963,68963
84.136.88.62,68979,68979
91.32.201.102,68997,68997
194.230.155.114,69022,69022
84.135.156.87,69037,69037
90.186.2.239,69049,69049
109.42.2.154,69066,69066
95.208.248.31,69079,69079
80.187.110.92,69094,69094
217.190.180.232,69102,69102
87.144.84.9,69110,69110
93.221.224.75,69118,#N/A
37.138.21.173,69126,69126
217.228.180.213,69134,69134
87.134.77.34,69142,69142
79.192.111.181,69151,69151
178.8.189.217,69160,69160
79.226.98.181,69170,69170
89.183.25.148,69179,69179
151.136.33.11,69194,69194
87.171.140.80,69203,69203
150.70.188.168,69211,69211
188.108.80.183,69221,69221
93.226.220.57,69231,69231
213.162.68.204,69240,69240
78.42.83.249,69251,69251
93.196.222.63,69261,#N/A
62.153.78.4,69271,69271
178.6.11.163,69279,69279
93.84.2.48,69289,69289
80.143.96.59,69303,69303
80.123.107.58,69311,69311
188.105.92.5,69322,69322
194.76.232.148,69340,69340
193.25.183.51,69356,69356
85.197.19.96,69369,#N/A
91.97.199.34,69378,69378
178.165.131.61,69389,69389
87.187.72.48,69401,69401
79.204.0.115,69420,69420
84.185.18.36,69437,#N/A
80.136.81.104,69450,69450
188.195.151.29,69462,69462
91.10.232.232,69477,69477
87.177.204.204,69493,69493
79.249.141.37,69509,69509
85.216.79.61,69525,69525
93.235.46.81,69539,#N/A
93.210.104.187,69552,#N/A
91.5.3.6,69567,69567
217.92.217.8,69580,69580
93.235.24.250,69598,69598
92.217.174.122,69616,69616
95.88.255.130,69631,69631
91.64.159.98,69646,69646
85.95.199.52,69663,69663
109.43.2.222,69675,69675
145.244.10.3,69696,69696
193.108.14.109,69712,69712
178.200.131.32,69739,69739
195.46.224.26,69754,69754
78.52.232.202,69768,69768
93.209.146.100,69786,69786
194.156.135.145,69804,69804
217.50.252.91,69819,69819
79.237.129.143,69842,69842
77.23.52.30,69854,69854
217.190.230.5,69870,69870
91.6.224.10,69893,69893
176.4.57.67,69911,69911
84.188.29.196,69925,69925
89.204.135.200,69944,69944
95.91.201.166,69966,69966
91.43.149.17,69981,69981
78.43.33.229,69993,69993
178.162.216.39,70002,#N/A
87.181.251.253,70012,#N/A
141.113.3.16,70023,70023
89.204.154.161,70033,#N/A
92.226.130.76,70047,70047
141.44.30.213,70056,70056
80.187.99.154,70069,70069
37.201.195.36,70082,70082
79.248.1.50,70093,#N/A
95.33.73.148,70102,#N/A
80.187.101.43,70110,#N/A
188.106.20.160,70127,70127
150.70.173.59,70137,70137
87.146.56.104,70146,70146
93.104.237.67,70156,70156
176.0.97.70,70167,70167
212.121.135.146,70183,70183
93.122.75.121,70195,70195
217.231.180.175,70213,70213
79.251.147.1,70225,70225
77.5.251.243,70237,#N/A
95.91.196.135,70256,70256
84.60.19.146,70272,70272
80.135.68.96,70285,70285
80.153.186.26,70298,70298
79.254.158.178,70312,70312
80.145.7.69,70338,70338
213.68.144.90,70353,70353
193.175.243.34,70367,70367
80.134.128.82,70380,70380
80.187.103.175,70401,70401
188.97.184.168,70411,70411
91.41.255.238,70435,70435
80.187.112.72,70452,70452
178.115.128.217,70472,70472
79.194.80.69,70494,#N/A
89.204.138.216,70511,70511
91.89.223.202,70531,70531
87.180.228.100,70556,70556
82.113.99.90,70575,70575
109.47.1.79,70592,70592
95.33.14.94,70612,70612
93.216.28.158,70624,70624
